date,venue_name,set1,set2,set3,encore
05/08/2023,"Barton Hall, Cornell University, Ithaca, NY, USA","['Minglewood Blues', 'Althea', 'Estimated Prophet', 'Eyes of the World', 'Jack Straw', 'Bertha', 'Cassidy', 'Deal']","['China Cat Sunflower', 'I Know You Rider', 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Drums', 'Space', 'Scarlet Begonias', 'Fire on the Mountain', 'Morning Dew', 'Terrapin Station']",[],[]
05/06/2023,"Fair Grounds Race Course, New Orleans, LA, USA","['Shakedown Street', 'Brown-Eyed Women', ""He's Gone"", 'Cumberland Blues', 'Playing in the Band', ""Uncle John's Band"", 'Drums', 'Not Fade Away', 'The Other One', 'Standing on the Moon']",[],[],[]
01/17/2023,"Moon Palace The Grand, Cancún, Mexico","['Cold Rain and Snow', 'Cassidy', 'High Time', 'Mississippi Half-Step Uptown Toodeloo', 'Sugaree', 'The Wheel', 'New Speedway Boogie']","['China Cat Sunflower', 'I Know You Rider', ""He's Gone"", 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Drums', 'Space', 'The Other One', 'Standing on the Moon', 'Not Fade Away']",[],"['U.S. Blues', 'Sunshine Daydream', 'Brokedown Palace']"
01/16/2023,"Moon Palace The Grand, Cancún, Mexico","['Scarlet Begonias', 'Bertha', ""Good Lovin'"", 'Mr. Charlie', 'Black-Throated Wind', 'Good Times', 'Dark Star', 'Fire on the Mountain']","['Playing in the Band', 'Brown-Eyed Women', 'Terrapin Station', 'Drums', 'Space', 'Jam', 'Althea', 'All Along the Watchtower', 'Morning Dew']",[],"[""Uncle John's Band""]"
01/14/2023,"Moon Palace The Grand, Cancún, Mexico","['Sugar Magnolia', 'Deal', 'Shakedown Street', 'Ramble On Rose', 'They Love Each Other', 'Tennessee Jed', 'Jack Straw', 'Casey Jones']","['St. Stephen', 'Dear Mr. Fantasy', 'Hey Jude', 'Estimated Prophet', 'Eyes of the World', 'Drums', 'Space', 'Cumberland Blues', 'Stella Blue', 'One More Saturday Night']",[],['Ripple']
07/16/2022,"Citi Field, Queens, NY, USA","['Playing in the Band', ""Uncle John's Band"", 'Dear Mr. Fantasy', 'Hey Jude', 'Ramble On Rose', 'Brown-Eyed Women', 'Jack Straw']","[""Truckin'"", 'Wang Dang Doodle', 'Scarlet Begonias', ""Franklin's Tower"", 'St. Stephen', 'The Eleven', 'Drums', 'Space', 'All Along the Watchtower', 'Morning Dew', 'Deal']",[],[]
07/15/2022,"Citi Field, Queens, NY, USA","['Bertha', 'Mississippi Half-Step Uptown Toodeloo', 'Shakedown Street', 'Sugaree', 'Tennessee Jed', 'Bird Song', ""Don't Ease Me In""]","['Althea', 'Viola Lee Blues', 'Terrapin Station', 'China Cat Sunflower', 'I Know You Rider', 'Drums', 'Space', 'The Other One', 'Standing on the Moon', 'Not Fade Away']",[],['Sugar Magnolia']
07/12/2022,"The Pavilion at Star Lake, Burgettstown, PA, USA","['The Music Never Stopped', 'Dire Wolf', 'Friend of the Devil', 'Foolish Heart', 'They Love Each Other', 'West L.A. Fadeaway', 'Lost Sailor', 'Saint of Circumstance']","['Big Railroad Blues', 'Dark Star', 'El Paso', ""He's Gone"", 'Eyes of the World', 'Drums', 'Space', 'Hell in a Bucket', 'Dear Prudence', 'U.S. Blues']",[],['Ripple']
07/10/2022,"Citizens Bank Park, Philadelphia, PA, USA","[""Truckin'"", 'All Along the Watchtower', 'Here Comes Sunshine', 'Looks Like Rain', 'Brown-Eyed Women', 'Estimated Prophet', 'Deal']","['Samson and Delilah', 'Help on the Way', 'Slipknot!', 'China Cat Sunflower', 'I Know You Rider', 'Drums', 'Space', 'Cumberland Blues', 'Days Between', ""Franklin's Tower""]",[],"['Brokedown Palace', 'Casey Jones']"
07/08/2022,"Jiffy Lube Live, Bristow, VA, USA","['Man Smart, Woman Smarter', 'New Speedway Boogie', 'It Hurts Me Too', 'Peggy-O', 'Cold Rain and Snow', 'China Doll', 'Throwing Stones', ""Don't Ease Me In""]","['Sugaree', 'Playing in the Band', ""Uncle John's Band"", 'Terrapin Station', 'Drums', 'Space', 'Going Down the Road Feeling Bad', 'Stella Blue', 'Turn On Your Love Light']",[],['Black Muddy River']
07/05/2022,"XFINITY Theatre, Hartford, CT, USA","['The Music Never Stopped', 'Liberty', 'They Love Each Other', 'Loser', 'Alabama Getaway', 'Iko Iko', 'High Time', 'Cassidy']","['Jack Straw', 'Scarlet Begonias', 'Viola Lee Blues', 'Fire on the Mountain', 'The Other One', 'Drums', 'Space', 'The Wheel', 'Black Peter', 'Sugar Magnolia']",[],[]
07/02/2022,"Gillette Stadium, Foxborough, MA, USA","['Cumberland Blues', 'Bertha']","[""Good Lovin'"", 'Crazy Fingers', 'Mr. Charlie', 'St. Stephen', 'The Eleven', 'Brown-Eyed Women', 'Estimated Prophet', 'Eyes of the World', 'Drums', 'Space', 'Dear Mr. Fantasy', 'Hey Jude', 'Morning Dew']",[],"[""Knockin' on Heaven's Door"", 'One More Saturday Night']"
07/01/2022,"Bethel Woods Center for the Arts, Bethel, NY, USA","['Deal', 'Shakedown Street', 'Big Boss Man', 'It Must Have Been the Roses', 'Me and My Uncle', 'Mama Tried', 'If I Had the World to Give', 'Let It Grow']","['Good Times', 'Dark Star', 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Drums', 'Space', 'Althea', ""Death Don't Have No Mercy"", 'Not Fade Away']",[],['Sing Me Back Home']
06/29/2022,"Pine Knob Music Theatre, Clarkston, MI, USA","['Mississippi Half-Step Uptown Toodeloo', 'Feel Like a Stranger', 'Cold Rain and Snow', 'Minglewood Blues', 'China Doll', 'Jack Straw', 'Big River', 'Bird Song']","['Here Comes Sunshine', 'Playing in the Band', ""Uncle John's Band"", 'Supplication', 'China Cat Sunflower', 'I Know You Rider', 'Drums', 'Space', 'A Love Supreme', 'Wharf Rat', 'U.S. Blues']",[],['Ripple']
06/28/2022,"Ruoff Home Mortgage Music Center, Noblesville, IN, USA","['Viola Lee Blues', 'Loose Lucy', 'Row Jimmy', 'Friend of the Devil', 'They Love Each Other', 'Foolish Heart', 'The Other One', ""Don't Ease Me In""]","['Lost Sailor', 'Saint of Circumstance', ""He's Gone"", 'Terrapin Station', 'Drums', 'Space', 'All Along the Watchtower', 'Standing on the Moon', 'Turn On Your Love Light', 'The Weight']",[],[]
06/25/2022,"Wrigley Field, Chicago, IL, USA","['Scarlet Begonias', 'The Wheel', 'New Speedway Boogie', 'Big Railroad Blues', 'Dancing in the Street', 'Tennessee Jed', 'Sugaree']","['Casey Jones', 'Ramble On Rose', 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Drums', 'Space', 'Days Between', 'Fire on the Mountain', 'One More Saturday Night']",[],"['Brokedown Palace', 'Touch of Grey']"
06/24/2022,"Wrigley Field, Chicago, IL, USA","['Man Smart, Woman Smarter', 'Eyes of the World', 'Bertha', 'Next Time You See Me', 'Dark Star', 'Dear Mr. Fantasy', 'Hey Jude', 'Althea']","['Throwing Stones', 'Brown-Eyed Women', 'Estimated Prophet', 'Sing Me Back Home', ""Truckin'"", 'Drums', 'Space', 'All Blues', 'Cumberland Blues', 'Stella Blue', 'Not Fade Away']",[],[]
06/22/2022,"Riverbend Music Center, Cincinnati, OH, USA","['Good Times', 'Cold Rain and Snow', 'Iko Iko', 'Ship of Fools', 'Big River', 'Here Comes Sunshine', 'Cassidy']","['Deal', 'Looks Like Rain', 'St. Stephen', 'The Eleven', 'Shakedown Street', 'Drums', 'Space', 'I Need a Miracle', ""Death Don't Have No Mercy"", 'Sugar Magnolia', 'Black Muddy River']",[],[]
06/21/2022,"Hollywood Casino Amphitheatre, Maryland Heights, MO, USA","['The Music Never Stopped', 'Alabama Getaway', 'Mississippi Half-Step Uptown Toodeloo', 'Jack Straw', 'Easy Wind', 'Black-Throated Wind', 'Bird Song']","['Box of Rain', 'Scarlet Begonias', 'Playing in the Band', ""Uncle John's Band"", 'Fire on the Mountain', 'Drums', 'Space', 'Spanish Jam', 'Hell in a Bucket', 'Black Peter', 'U.S. Blues']",[],['Ripple']
06/18/2022,"Folsom Field, Boulder, CO, USA","['China Cat Sunflower', 'I Know You Rider', ""He's Gone"", 'Brown-Eyed Women', 'Foolish Heart', 'It Hurts Me Too', 'Lost Sailor', 'Saint of Circumstance']","['Dear Mr. Fantasy', 'Hey Jude', 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Drums', 'Space', 'Milestones', 'All Along the Watchtower', 'Going Down the Road Feeling Bad', 'Morning Dew']",[],"['Terrapin Station', 'One More Saturday Night']"
06/17/2022,"Folsom Field, Boulder, CO, USA","['Bertha', ""Good Lovin'"", 'New Speedway Boogie', 'Smokestack Lightning', 'Mr. Charlie', 'Ramble On Rose', 'They Love Each Other', 'High Time', 'Let It Grow']","['Sugaree', ""Truckin'"", 'Viola Lee Blues', 'Althea', 'The Other One', 'Drums', 'Space', 'Wharf Rat', 'Turn On Your Love Light']",[],['Casey Jones']
06/14/2022,"Shoreline Amphitheatre, Mountain View, CA, USA","['Cassidy', 'Bird Song', 'Dire Wolf', 'When I Paint My Masterpiece', 'Tennessee Jed', 'Here Comes Sunshine', 'U.S. Blues']","['Cold Rain and Snow', 'Estimated Prophet', 'Eyes of the World', 'Terrapin Station', 'Drums', 'Space', 'The Wheel', 'Standing on the Moon', 'Not Fade Away']",[],['Brokedown Palace']
